,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
1,203699_s_at,-1.962808119,6.561601966,-4.518135885,1.27E-05,0.000319022,2.902710687,DIO2
2,209189_at,1.875331292,8.959257068,3.481524475,0.000657169,0.004823186,-0.760440634,FOS
3,205560_at,-1.87417575,7.249469754,-5.432187873,2.26E-07,3.12E-05,6.711743277,PCSK5
4,213432_at,1.842697461,4.881132015,4.172978042,5.13E-05,0.000795939,1.599547862,MUC5B
5,227404_s_at,1.835348162,10.90492655,5.041990894,1.34E-06,8.11E-05,5.025713236,EGR1
6,202768_at,1.768821411,7.384923249,3.033512528,0.002859921,0.0144103,-2.096661453,FOSB
7,230378_at,1.759104872,5.031538679,4.630330292,7.98E-06,0.000236866,3.343091696,SCGB3A1
8,226067_at,1.742743187,3.534746495,4.191341088,4.77E-05,0.000754676,1.666863275,BPIFB1
9,206100_at,-1.718156071,8.585369709,-3.913604577,0.000138765,0.00158419,0.673783057,CPM
10,212768_s_at,-1.707976809,6.208941681,-3.822951976,0.000194386,0.002004158,0.36148299,OLFM4
11,1554411_at,-1.621643056,6.298704294,-5.53199652,1.42E-07,2.45E-05,7.156371334,CTNNB1
12,209032_s_at,-1.607148606,6.508945463,-5.206025381,6.41E-07,5.31E-05,5.724125805,CADM1
13,205005_s_at,-1.575674827,6.105291897,-6.150334408,6.98E-09,5.57E-06,10.02240064,NMT2
14,205559_s_at,-1.564444602,9.478059615,-5.132951234,8.92E-07,6.44E-05,5.411097627,PCSK5
15,202920_at,-1.556426905,5.591403917,-3.846722492,0.00017804,0.001890024,0.442798722,ANK2
16,205899_at,-1.526825203,4.002414268,-5.702073686,6.30E-08,1.68E-05,7.925961286,CCNA1
17,215446_s_at,-1.522850438,7.490113111,-6.518765686,1.07E-09,2.57E-06,11.81359057,LOX
18,1554690_a_at,-1.522551135,5.133956709,-6.440364159,1.60E-09,2.88E-06,11.427606,TACC1
19,204712_at,-1.515131882,4.559264402,-3.753577607,0.000250629,0.00240197,0.12651614,WIF1
20,200906_s_at,-1.514309373,8.254728211,-5.087423551,1.09E-06,7.27E-05,5.217608202,PALLD
