Gene Set,ES,NES,P-value,FDR
acetaminophen,0.267006802721088,0.40808097655483805,0.9787234042553191,1.0
doxorubicin_BOSS,0.18573389307372373,0.8136372431342976,0.676056338028169,1.0
Nitrogen peroxide_BOSS,0.3421778843187745,0.5229690171382495,0.9574468085106383,1.0
Pentadecane_BOSS,0.3214558492067279,0.4912984071067855,0.9787234042553191,1.0
"Inositol 1,4,5-triphosphate_BOSS",0.11536416559887164,0.29308498564891533,1.0,1.0
11-cis-Retinal_BOSS,0.16090564840861216,0.6559357706931244,0.8,1.0
GEMCITABINE HYDROCHLORIDE_BOSS,0.2191184294723717,0.9765579899812448,0.4461538461538462,1.0
Indoxyl sulfate_BOSS,0.15513521379629255,0.23710156033052504,1.0,1.0
Eicosapentaenoic acid_BOSS,0.2324311405448014,0.8243856939200912,0.6153846153846154,1.0
caffeine_BOSS,0.2532013685482911,0.6432631751985511,0.8478260869565217,1.0
palmitoleic acid_BOSS,0.33810014299437136,0.5167367839335447,0.9574468085106383,1.0
tubocurarine_BOSS,0.48201627096733285,0.7366916069817994,0.8723404255319149,1.0
DULOXETINE HYDROCHLORIDE_BOSS,0.23850671981777283,0.364522754275282,0.9787234042553191,1.0
citric acid_BOSS,-0.08002343725440082,-0.27390170007415476,1.0,1.0
Estrone sulfate_BOSS,0.2053720886421166,0.8996655228304381,0.5211267605633803,1.0
Homovanillic acid_BOSS,0.36385042732038003,0.5560923399240004,0.9574468085106383,1.0
SKF 38393_BOSS,0.11853054281222411,0.18115665656996094,1.0,1.0
trans-Lutein_BOSS,0.358175388751099,0.9099517872553077,0.5434782608695652,1.0
GLYCOPROTEIN_BOSS,0.0890307965701721,0.28855966312873926,1.0,1.0
meprobamate_BOSS,0.20433160476285545,0.5631304941351897,0.9183673469387755,1.0
irbesartan_BOSS,0.3004568346055098,0.5946359323456911,0.95,1.0
SELENIUM_BOSS,0.1358911886603825,0.35314105284840613,0.9811320754716981,1.0
OXYTOCIN_BOSS,0.12230563791311394,0.3107199358350583,1.0,1.0
caffeic acid_BOSS,0.14038841086271742,0.21456322167822747,1.0,1.0
maltotriose_BOSS,-0.05523772114128185,-0.18906593178096878,1.0,1.0
Acid red 87_BOSS,0.10666429686992838,0.5155167526127381,0.9672131147540983,1.0
warfarin_BOSS,0.14222609240079861,0.3613282515744827,1.0,1.0
DESFLURANE_BOSS,0.23336637584977624,0.3566664878247264,0.9787234042553191,1.0
gentamicin_BOSS,0.1674651670207947,0.33143132143285586,1.0,1.0
