Gene Set,ES,NES,P-value,FDR
acetaminophen,0.267006802721088,0.40808097655483805,0.9787234042553191,1.0
TOPOTECAN HYDROCHLORIDE,0.18629399579473055,0.3686955699485107,1.0,1.0
Rubidomycin hydrochloride,0.22026125631137045,0.43592037997175637,0.975,1.0
Epirubicin hydrochloride,0.2597394692677672,0.3969739167258093,0.9787234042553191,1.0
Vardenafil,-0.4005416567534321,-0.6801451852616244,0.6792452830188679,1.0
Valdecoxib,-0.30694171440410684,-0.5212065354201465,0.9056603773584906,1.0
Gefitinib,0.20855604117843785,0.5747728877282441,0.8979591836734694,1.0
Sorafenib,0.16386077212816574,0.4162915910525458,1.0,1.0
ritonavir,0.1588832306309164,0.2428298577163222,1.0,1.0
Sorafenib tosylate,0.13263644156292967,0.26250158095202514,1.0,1.0
Doxorubicin Hydrochloride,0.21205050052095895,0.5510566045466818,0.9245283018867925,1.0
Retinoic acid,0.2118327027679753,0.419239378851636,1.0,1.0
diethylstilbestrol,0.19628624864446503,0.3884712977908714,1.0,1.0
Nilotinib,0.27922281620643896,0.5526115585458564,0.95,1.0
orlistat,0.3517848109981732,0.5376518041723872,0.9574468085106383,1.0
Dasatinib,0.12770683486178208,0.3519554065247063,1.0,1.0
Vandetanib,-0.09162706621268571,-0.22912894476922172,1.0,1.0
topiramate,0.6767676767676782,1.0343407419645152,0.3829787234042553,1.0
Bosutinib,0.09345070420180883,0.24285077197851374,1.0,1.0
Sunitinib,0.09798082328675316,0.2546232131423336,1.0,1.0
Pregabalin,0.7079255149861132,1.401059653669637,0.1,1.0
Axitinib,0.10622805240975022,0.16235409331563694,1.0,1.0
chlorhexidine,-0.1385650510200806,-0.2352922616357346,1.0,1.0
Gabapentin enacarbil,0.7079255149861132,1.401059653669637,0.1,1.0
ketoconazole,0.1699906103145436,0.259805868447385,1.0,1.0
Crizotinib,0.09204799318855125,0.23384978015167882,1.0,1.0
Etomidate,0.4503866575196508,0.6883503534547681,0.9148936170212766,1.0
zidovudine,0.2930012710397275,0.5798805815548783,0.95,1.0
celecoxib,0.23071307709683841,0.3526113074504584,1.0,1.0
chlorpromazine,0.23869424236975703,0.36480935516095203,0.9787234042553191,1.0
clofazimine,0.3302298351685331,0.504708165671297,0.9574468085106383,1.0
clotrimazole,0.1467774776910051,0.29048819078698757,1.0,1.0
dipyridamole,0.2137657961374798,0.5430763094237213,0.9130434782608695,1.0
disulfiram,0.18433685324810406,0.36482217733797256,1.0,1.0
ETHACRYNIC ACID,0.16674718160218466,0.2548487604529942,1.0,1.0
furosemide,0.5986509274873499,0.9149506777162079,0.574468085106383,1.0
gabapentin,0.7079255149861132,1.401059653669637,0.1,1.0
hexachlorophene,0.15728972339768144,0.43348477472255065,0.9591836734693877,1.0
ketoprofen,-0.5263373650992502,-0.8937542916189511,0.5849056603773585,1.0
menadione,0.23738249165573871,0.4698051200385804,0.975,1.0
5-Aminosalicylic acid,0.26746166950596206,0.4087761741298888,0.9787234042553191,1.0
miconazole,-0.11727044422818449,-0.19913266615459987,1.0,1.0
nifedipine,0.19408859041123036,0.29663611827861264,1.0,1.0
pentoxifylline,0.19000266794483567,0.3760354253544886,1.0,1.0
phenylbutazone,0.2964636858023628,0.45310152843427864,0.9787234042553191,1.0
propofol,0.23583021349651462,0.36043210451578817,0.9787234042553191,1.0
triamterene,0.23492514973022421,0.5968320732857231,0.8913043478260869,1.0
zafirlukast,0.2174312324436244,0.33231194398369696,1.0,1.0
Crystal violet,0.19992199862776233,0.30555163240553934,1.0,1.0
danazol,0.3030083409031378,0.46310407974578466,0.9787234042553191,1.0
daunorubicin,0.3548684256137429,0.5423646596158305,0.9574468085106383,1.0
paclitaxel,0.22316545996498083,0.3410758748755519,1.0,1.0
oxytetracycline,0.39121925973289695,0.7742643949780739,0.75,1.0
