Gene Set,ES,NES,P-value,FDR
hsa01212_Fatty_acid_metabolism,0.32655947831639975,3.1069926894660203,0.0,0.0
hsa04510_Focal_adhesion,0.18983519733507126,2.7731811202134518,0.0,0.0
hsa04512_ECM-receptor_interaction,0.320895486487748,3.0531036359449164,0.0,0.0
"hsa00280_Valine,_leucine_and_isoleucine_degradation",0.32406469508234653,2.963532615587337,0.0,0.0
hsa04146_Peroxisome,0.25772726990871087,2.612260557445484,0.0,0.0
hsa04810_Regulation_of_actin_cytoskeleton,0.1746527242878726,2.6650510072740796,0.0,0.0
hsa05205_Proteoglycans_in_cancer,0.16087406921388198,2.3452422313578483,0.0,0.02231650403054731
hsa04062_Chemokine_signaling_pathway,0.18238899091155666,2.346934894282115,0.0,0.024176212699759583
hsa04015_Rap1_signaling_pathway,0.1646136203371765,2.432362454537679,0.0,0.026374050217919547
hsa04210_Apoptosis,0.19543459946656314,2.5449908018899823,0.0,0.02789563003818413
hsa05215_Prostate_cancer,0.21650197835159218,2.43841957540993,0.0,0.0290114552397115
hsa00562_Inositol_phosphate_metabolism,0.2801101282464575,2.5909494359265506,0.0,0.03188072004363901
hsa01522_Endocrine_resistance,0.240806647215426,2.4407572652841947,0.0,0.03223495026634611
hsa04012_ErbB_signaling_pathway,0.2118906342182885,2.2763316939835407,0.0,0.04215339650214491
hsa05161_Hepatitis_B,0.1651407402979772,2.280181217475376,0.0,0.04463300806109461
hsa01200_Carbon_metabolism,0.21568522284016117,2.2849430917494975,0.0,0.04742257106491302
hsa05020_Prion_disease,0.1533916205468399,2.293971057021983,0.0,0.05058407580257389
hsa00380_Tryptophan_metabolism,0.3167309109305502,2.255036993343457,0.02564102564102564,0.052443784471786166
hsa04014_Ras_signaling_pathway,0.155713444855332,2.3008517530751083,0.0,0.05419722407418632
hsa04024_cAMP_signaling_pathway,0.16939077613882406,2.2638810529587894,0.0,0.055203983654511755
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",0.20181263341957822,2.187905242908732,0.0,0.061877579357426625
hsa05135_Yersinia_infection,0.178977949350803,2.225536667488574,0.0,0.0648241307553993
hsa00230_Purine_metabolism,0.19195432678011143,2.081028679151456,0.0,0.08926601612218922
hsa04964_Proximal_tubule_bicarbonate_reclamation,0.44200215869558146,2.0666212232802468,0.022222222222222223,0.0899422738200846
hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy,0.2061767358386582,2.083208000948363,0.0,0.09224154999292886
hsa04360_Axon_guidance,0.15305357809938464,2.0724675159534307,0.0,0.09275296987696224
hsa00514_Other_types_of_O-glycan_biosynthesis,0.30850729208069605,2.0902021610351422,0.024390243902439025,0.0954222930961333
hsa04660_T_cell_receptor_signaling_pathway,0.18519731582478763,2.049958847055184,0.0,0.09845516484064988
hsa00071_Fatty_acid_degradation,0.29465444915030653,2.0978586559013674,0.02564102564102564,0.09883023213528093
hsa04926_Relaxin_signaling_pathway,0.19281124837018276,2.125847227473662,0.0,0.10128259521556086
hsa05163_Human_cytomegalovirus_infection,0.1352584287999741,2.109694694323282,0.0,0.10249061110325429
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance,0.21151764132842127,2.1438910668702214,0.0,0.10414368547588743
hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection,0.2234823581517173,2.1273712947422534,0.0,0.1053338990241833
hsa01240_Biosynthesis_of_cofactors,0.1770913537322303,2.1455109462548374,0.0,0.10867167180092602
hsa00270_Cysteine_and_methionine_metabolism,0.3222645233504098,1.96949498682975,0.02127659574468085,0.11275707299644955
hsa05218_Melanoma,0.22383904026228282,1.932600893757805,0.075,0.11558804651719373
hsa04725_Cholinergic_synapse,0.18643929959413433,1.9751153279236577,0.0,0.11580456145581303
hsa00532_Glycosaminoglycan_biosynthesis,0.4191506861190386,1.9770273254654804,0.022727272727272728,0.11716164616037336
hsa00062_Fatty_acid_elongation,0.3235432618913543,1.9773098996214935,0.02127659574468085,0.12050912176495546
hsa00410_beta-Alanine_metabolism,0.3236209196407005,1.8643238347283542,0.023809523809523808,0.13908890884155065
hsa04137_Mitophagy,0.19711789686215678,1.8754435414679596,0.0,0.14097498887589638
hsa05212_Pancreatic_cancer,0.17919538760260642,1.8668957049661878,0.0,0.14240054952825423
hsa04213_Longevity_regulating_pathway,0.2182648562214417,1.83147102688241,0.07894736842105263,0.1426315692387154
hsa05223_Non-small_cell_lung_cancer,0.20718467739727547,1.894678927492383,0.02564102564102564,0.1444993635977938
hsa00561_Glycerolipid_metabolism,0.27885386444155547,1.8334461994581763,0.09090909090909091,0.1458011596662424
hsa04270_Vascular_smooth_muscle_contraction,0.17987271228309898,1.8174323686725864,0.0,0.1486184204587512
hsa05100_Bacterial_invasion_of_epithelial_cells,0.19340834112306174,1.8411050926686492,0.0,0.14911482238592974
hsa05222_Small_cell_lung_cancer,0.16524132340735093,1.8005502106062818,0.0,0.1548492116405323
hsa04932_Non-alcoholic_fatty_liver_disease,0.15158139870547788,1.8115676023833691,0.03571428571428571,0.15528567387922498
hsa04666_Fc_gamma_R-mediated_phagocytosis,0.16641360221831822,1.762965518707257,0.0,0.15865005592625447
hsa05132_Salmonella_infection,0.12139672777848604,1.7937813538594183,0.0625,0.16067882901994063
