Gene Set	ES	NES	P-value	FDR	GEO	GMT
classicPathway	0.914141414	1.809182783	0	0.122059025	GSE141549	C2
compPathway	0.914141414	1.809182783	0	0.122059025	GSE141549	C2
alternativePathway	0.914141414	1.809182783	0	0.122059025	GSE141549	C2
lechtinPathway	0.914141414	1.809182783	0	0.122059025	GSE141549	C2
Complement_Activation_Classical	0.914141414	1.809182783	0	0.122059025	GSE141549	C2
chemicalPathway	0.628161563	3.618729515	0	0	GSE51981	C2
cellcyclePathway	0.625990559	3.409955901	0	0	GSE51981	C2
p53Pathway	0.570120712	2.665651154	0	0	GSE51981	C2
g1Pathway	0.451108118	2.57072333	0	0.026682072	GSE51981	C2
GO_0005739	0.187280772	2.468432776	0	0.028460877	GSE51981	C2
ST_p38_MAPK_Pathway	0.329153215	2.230082653	0	0.185786281	GSE51981	C2
Cell_Cycle	0.213518247	2.310648759	0	0.201597879	GSE51981	C2
nfatPathway	0.26856336	2.231037005	0.026315789	0.209009566	GSE51981	C2
p35alzheimersPathway	0.532958835	1.950682457	0	0.237798117	GSE51981	C2
caspasePathway	0.392187848	2.234955235	0	0.238868075	GSE51981	C2
raccycdPathway	0.40563659	1.913284769	0.022727273	0.241028052	GSE51981	C2
hsa01212_Fatty_acid_metabolism	0.326559478	3.106992689	0	0	GSE51981	KEGG
hsa04510_Focal_adhesion	0.189835197	2.77318112	0	0	GSE51981	KEGG
hsa04512_ECM-receptor_interaction	0.320895486	3.053103636	0	0	GSE51981	KEGG
"hsa00280_Valine,_leucine_and_isoleucine_degradation"	0.324064695	2.963532616	0	0	GSE51981	KEGG
hsa04146_Peroxisome	0.25772727	2.612260557	0	0	GSE51981	KEGG
hsa04810_Regulation_of_actin_cytoskeleton	0.174652724	2.665051007	0	0	GSE51981	KEGG
hsa05205_Proteoglycans_in_cancer	0.160874069	2.345242231	0	0.022316504	GSE51981	KEGG
hsa04062_Chemokine_signaling_pathway	0.182388991	2.346934894	0	0.024176213	GSE51981	KEGG
hsa04015_Rap1_signaling_pathway	0.16461362	2.432362455	0	0.02637405	GSE51981	KEGG
hsa04210_Apoptosis	0.195434599	2.544990802	0	0.02789563	GSE51981	KEGG
hsa05215_Prostate_cancer	0.216501978	2.438419575	0	0.029011455	GSE51981	KEGG
hsa00562_Inositol_phosphate_metabolism	0.280110128	2.590949436	0	0.03188072	GSE51981	KEGG
hsa01522_Endocrine_resistance	0.240806647	2.440757265	0	0.03223495	GSE51981	KEGG
hsa04012_ErbB_signaling_pathway	0.211890634	2.276331694	0	0.042153397	GSE51981	KEGG
hsa05161_Hepatitis_B	0.16514074	2.280181217	0	0.044633008	GSE51981	KEGG
hsa01200_Carbon_metabolism	0.215685223	2.284943092	0	0.047422571	GSE51981	KEGG
hsa05020_Prion_disease	0.153391621	2.293971057	0	0.050584076	GSE51981	KEGG
hsa00380_Tryptophan_metabolism	0.316730911	2.255036993	0.025641026	0.052443784	GSE51981	KEGG
hsa04014_Ras_signaling_pathway	0.155713445	2.300851753	0	0.054197224	GSE51981	KEGG
hsa04024_cAMP_signaling_pathway	0.169390776	2.263881053	0	0.055203984	GSE51981	KEGG
"hsa04935_Growth_hormone_synthesis,_secretion_and_action"	0.201812633	2.187905243	0	0.061877579	GSE51981	KEGG
hsa05135_Yersinia_infection	0.178977949	2.225536667	0	0.064824131	GSE51981	KEGG
hsa00230_Purine_metabolism	0.191954327	2.081028679	0	0.089266016	GSE51981	KEGG
hsa04964_Proximal_tubule_bicarbonate_reclamation	0.442002159	2.066621223	0.022222222	0.089942274	GSE51981	KEGG
hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy	0.206176736	2.083208001	0	0.09224155	GSE51981	KEGG
hsa04360_Axon_guidance	0.153053578	2.072467516	0	0.09275297	GSE51981	KEGG
hsa00514_Other_types_of_O-glycan_biosynthesis	0.308507292	2.090202161	0.024390244	0.095422293	GSE51981	KEGG
hsa04660_T_cell_receptor_signaling_pathway	0.185197316	2.049958847	0	0.098455165	GSE51981	KEGG
hsa00071_Fatty_acid_degradation	0.294654449	2.097858656	0.025641026	0.098830232	GSE51981	KEGG
hsa04926_Relaxin_signaling_pathway	0.192811248	2.125847227	0	0.101282595	GSE51981	KEGG
hsa05163_Human_cytomegalovirus_infection	0.135258429	2.109694694	0	0.102490611	GSE51981	KEGG
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance	0.211517641	2.143891067	0	0.104143685	GSE51981	KEGG
hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection	0.223482358	2.127371295	0	0.105333899	GSE51981	KEGG
hsa01240_Biosynthesis_of_cofactors	0.177091354	2.145510946	0	0.108671672	GSE51981	KEGG
hsa00270_Cysteine_and_methionine_metabolism	0.322264523	1.969494987	0.021276596	0.112757073	GSE51981	KEGG
hsa05218_Melanoma	0.22383904	1.932600894	0.075	0.115588047	GSE51981	KEGG
hsa04725_Cholinergic_synapse	0.1864393	1.975115328	0	0.115804561	GSE51981	KEGG
hsa00532_Glycosaminoglycan_biosynthesis	0.419150686	1.977027325	0.022727273	0.117161646	GSE51981	KEGG
hsa00062_Fatty_acid_elongation	0.323543262	1.9773099	0.021276596	0.120509122	GSE51981	KEGG
hsa00410_beta-Alanine_metabolism	0.32362092	1.864323835	0.023809524	0.139088909	GSE51981	KEGG
hsa04137_Mitophagy	0.197117897	1.875443541	0	0.140974989	GSE51981	KEGG
hsa05212_Pancreatic_cancer	0.179195388	1.866895705	0	0.14240055	GSE51981	KEGG
hsa04213_Longevity_regulating_pathway	0.218264856	1.831471027	0.078947368	0.142631569	GSE51981	KEGG
hsa05223_Non-small_cell_lung_cancer	0.207184677	1.894678927	0.025641026	0.144499364	GSE51981	KEGG
hsa00561_Glycerolipid_metabolism	0.278853864	1.833446199	0.090909091	0.14580116	GSE51981	KEGG
hsa04270_Vascular_smooth_muscle_contraction	0.179872712	1.817432369	0	0.14861842	GSE51981	KEGG
hsa05100_Bacterial_invasion_of_epithelial_cells	0.193408341	1.841105093	0	0.149114822	GSE51981	KEGG
hsa05222_Small_cell_lung_cancer	0.165241323	1.800550211	0	0.154849212	GSE51981	KEGG
