Gene Set,ES,NES,P-value,FDR
amiodarone,0.3590619081586082,0.8661204360164776,0.64,1.0
diethylstilbestrol,0.3400528761813967,0.8202673096049705,0.64,1.0
Retinoic acid,-0.10225274933048369,-0.32007280379368336,1.0,1.0
Doxorubicin Hydrochloride,0.1196498094767241,0.5373293477143666,0.9361702127659575,1.0
Amiodarone hydrochloride,0.2015834073796121,0.35881697482467745,1.0,1.0
digitoxin,-0.15783226546938012,-0.4940484834751825,0.9245283018867925,1.0
ritonavir,0.16796295222018015,0.298972813197731,1.0,1.0
Bortezomib,-0.1536751393244827,-0.37707321297801105,1.0,1.0
Vincristine sulfate,0.28057732399460394,0.4994255623954167,0.9622641509433962,1.0
Sorafenib,0.08330313333024118,0.39097327288588724,1.0,1.0
methotrexate,0.14728441285101387,0.26216516599755935,1.0,1.0
Gefitinib,0.13938893559303087,0.6259748023700218,0.9148936170212766,1.0
Clofarabine,0.2671130952380966,0.7620941488154868,0.625,1.0
idarubicin hydrochloride,-0.16299228088101414,-0.4917647979672274,0.9615384615384616,1.0
Prochlorperazine edisylate,0.1981275809020396,0.5652731850897154,0.8541666666666666,1.0
Zoledronic acid,0.3122423813451526,0.5557891303788544,0.8490566037735849,1.0
sertraline,0.3326093216760509,0.8023121477590788,0.66,1.0
Prazosin hydrochloride,0.18063404417028134,0.3215272631912202,1.0,1.0
Dyclonine hydrochloride,0.2577457641059816,0.4587855545879463,0.9811320754716981,1.0
Telmisartan,-0.42878375961520143,-0.9256193858950704,0.46808510638297873,1.0
Epirubicin hydrochloride,-0.19555647974447624,-0.5900143996569256,0.75,1.0
Rubidomycin hydrochloride,0.09708831429728546,0.43600905693206565,0.9574468085106383,1.0
ALOSETRON HYDROCHLORIDE,-0.11509698831881643,-0.24846091125662587,1.0,1.0
GEMCITABINE HYDROCHLORIDE,-0.28748147544914243,-0.8673617482337813,0.4423076923076923,1.0
ADAPALENE,-0.19671729980135602,-0.42465541698798115,0.8936170212765957,1.0
mifepristone,0.26668678241417604,0.47470050107536665,0.9622641509433962,1.0
RALOXIFENE HYDROCHLORIDE,0.2731032943860018,0.6587731503578305,0.76,1.0
Masoprocol,0.2461790600804226,0.7023677408288607,0.7083333333333334,1.0
Mitoxantrone dihydrochloride,-0.15262207319190196,-0.3744893010203839,1.0,1.0
Nilotinib,0.11641362033141901,0.2072153835412002,1.0,1.0
Capsaicin,0.2897265336289766,0.5157110879042707,0.9433962264150944,1.0
OXYTETRACYCLINE HYDROCHLORIDE,0.28867505551443484,0.5138394646339897,0.9433962264150944,1.0
oxytetracycline,-0.13753871603060905,-0.44402692003491,1.0,1.0
CEPHAPIRIN SODIUM,-0.2266995097123643,-0.5562533594148006,0.86,1.0
CEFUROXIME SODIUM,-0.19096178492054466,-0.41223093488010587,0.9148936170212766,1.0
Cytomel,0.18886029009362054,0.4555642163240241,0.98,1.0
MONTELUKAST SODIUM,-0.25922029053248463,-0.5595811892445418,0.8085106382978723,1.0
Crizotinib,0.09589984688916922,0.4087018637988507,1.0,1.0
Carfilzomib,-0.21012561522207082,-0.5155859380317124,0.92,1.0
CEFOTAXIME SODIUM SALT,0.20649497467628086,0.6910315297962314,0.6382978723404256,1.0
chlorhexidine,0.11224694242939239,0.27075935516812644,1.0,1.0
cefdinir,-0.20949546279784548,-0.45223975319579857,0.8936170212765957,1.0
nitrofurantoin,0.1877246685259446,0.33414852212314256,1.0,1.0
6-Mercaptopurine,0.23643263503034323,0.4208483424017915,1.0,1.0
Axitinib,-0.10162427610239838,-0.3280815440249057,1.0,1.0
Sunitinib,-0.07940775320661406,-0.42972715172340153,1.0,1.0
Bosutinib,0.07533789156786735,0.3535893652624255,1.0,1.0
Acitretin,0.16219205621785143,0.39123574864911964,0.98,1.0
indocyanine green,-0.22763856202409447,-0.6868094050726831,0.6346153846153846,1.0
Isotretinoin,0.17974443902107126,0.3199437726024988,1.0,1.0
Methysergide maleate,-0.14793644878370873,-0.44633977422045973,0.9615384615384616,1.0
Vandetanib,0.15843573462537816,0.5302021913327499,0.8085106382978723,1.0
Dasatinib,0.14801348244770077,0.6307975258150887,0.8636363636363636,1.0
Clomifene citrate,0.3046064444987083,0.5421972192448502,0.9245283018867925,1.0
tamoxifen,0.3489375666180096,1.1677129714242618,0.2978723404255319,1.0
Tamoxifen citrate,0.2683942531877556,0.6474141152634063,0.78,1.0
digoxin,0.19943656334618393,0.4810760464368781,0.98,1.0
indinavir,0.341400766835154,0.607690840982404,0.8490566037735849,1.0
ketoconazole,0.2694097356293798,0.6498636374074208,0.78,1.0
IDARUBICIN,0.16271962648216215,0.5445381544617117,0.7872340425531915,1.0
methyldopa,0.15667783096253982,0.7036166382595087,0.8297872340425532,1.0
perphenazine,0.2170976696235977,0.5236777391309692,0.96,1.0
ondansetron,0.1373419406228054,0.24446763893628717,1.0,1.0
nisoldipine,0.28623197301073644,0.5094907958391749,0.9622641509433962,1.0
nifedipine,0.2061874698629086,0.4973604195851131,0.98,1.0
niclosamide,-0.0741519404040846,-0.160072465434214,1.0,1.0
miconazole,0.18618212259924974,0.33140280177770526,1.0,1.0
5-Aminosalicylic acid,0.19817813819120558,0.5654174289135497,0.8541666666666666,1.0
loratadine,0.2591520421957243,0.4612887191910402,0.9811320754716981,1.0
Amrinone,0.18809514522293358,0.4537185524038,0.98,1.0
hydroxyurea,0.2641648270787349,0.6372119960677762,0.8,1.0
hexachlorophene,0.08048667791884823,0.3614535980873767,1.0,1.0
haloprogin,0.166904386633447,0.2970885742793471,1.0,1.0
pindolol,0.28186009622672836,0.5017088874850318,0.9622641509433962,1.0
haloperidol,0.2657228096080666,0.4729846366071662,0.9622641509433962,1.0
fenofibrate,0.3412390664103951,0.6074030154217882,0.8490566037735849,1.0
ETHACRYNIC ACID,0.18708879097265602,0.45129104906180695,0.98,1.0
disulfiram,0.21756035093238751,0.5247938077748441,0.96,1.0
dipyridamole,0.1284662313545074,0.36652401166771176,0.9791666666666666,1.0
clozapine,0.21718323965537112,0.38658456094558913,1.0,1.0
clotrimazole,0.23996048761950867,0.8552142488432625,0.5681818181818182,1.0
clofibrate,0.6303490145488349,1.122016585711335,0.3018867924528302,1.0
cimetidine,0.22869558785408944,0.40707645562823763,1.0,1.0
chlorpromazine,0.1836881011170298,0.3269634619777152,1.0,1.0
chloroxine,0.2025070883827517,0.36046112018146975,1.0,1.0
carvedilol,0.23333358146121905,0.4153320499601288,1.0,1.0
amlexanox,-0.14801458646326543,-0.36318389513523214,1.0,1.0
FLUPHENAZINE,0.1795463228988315,0.43309729030236876,0.98,1.0
prazosin,0.15884293394529075,0.2827392480929447,1.0,1.0
prochlorperazine,0.1947947581365717,0.5557643861057565,0.8541666666666666,1.0
risperidone,0.2910022224871535,0.5179818046406268,0.9433962264150944,1.0
etoposide,0.13877245707146357,0.3959284641460258,0.9583333333333334,1.0
paclitaxel,0.29359652833579863,0.5225996498714489,0.9433962264150944,1.0
amoxicillin,0.2783123612139167,0.49539394539071835,0.9622641509433962,1.0
doxorubicin,-0.16161890641607746,-0.48762118323509185,0.9615384615384616,1.0
fludarabine phosphate,-0.2742866519226408,-0.8275515824354381,0.4423076923076923,1.0
daunorubicin,-0.14610471251724622,-0.45733875410745256,0.9811320754716981,1.0
fluorescein,-0.21839576197584518,-0.47145290965213377,0.8936170212765957,1.0
AMILORIDE HYDROCHLORIDE,0.16506618080408694,0.2938165814929866,1.0,1.0
Metformin hydrochloride,-0.20283623655072705,-0.4378644211754681,0.8936170212765957,1.0
Crystal violet,0.16430803508883907,0.39633986161877477,0.98,1.0
dihydroergotamine,0.29096145553529484,0.5179092397677095,0.9433962264150944,1.0
methysergide,0.23290992088667828,0.5618196685509282,0.92,1.0
5-azacytidine,0.18792020833912884,0.3344965815449799,1.0,1.0
methylergonovine,0.23852209880105874,0.5753572281520933,0.92,1.0
PSEUDOEPHEDRINE,0.3802083333333354,0.9171293305172948,0.62,1.0
Medroxyprogesterone acetate,0.29646810598054824,0.5277110368494599,0.9433962264150944,1.0
ampicillin,-0.22934067527431148,-0.6919448591818341,0.6346153846153846,1.0
Chlorpromazine hydrochloride,0.19603133024391764,0.3489343185697825,1.0,1.0
levodopa,-0.13728725764645214,-0.4142100482001805,0.9615384615384616,1.0
cephalothin,-0.3126948028268434,-0.6750171033177855,0.6382978723404256,1.0
progesterone,0.14849115085120593,0.3581867566498412,0.98,1.0
ethinyl estradiol,0.31522720495021617,0.561102094328994,0.8490566037735849,1.0
epinephrine,0.24053669472474692,0.42815353831641695,0.9811320754716981,1.0
reserpine,0.13949719884525041,0.2483039826383629,1.0,1.0
estradiol,0.26066576636447353,0.4639831370204142,0.9811320754716981,1.0
zafirlukast,0.13497139908519118,0.38508375416254675,0.9791666666666666,1.0
