Gene Set,ES,NES,P-value,FDR
hsa01212_Fatty_acid_metabolism,0.48377912315118027,2.65618214156597,0.0,0.0
hsa00010_Glycolysis_/_Gluconeogenesis,0.22551423575487928,0.9610869199062496,0.4318181818181818,1.0
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",0.11508595550114116,0.5168337640566204,0.9361702127659575,1.0
hsa04927_Cortisol_synthesis_and_secretion,0.2522679522612675,0.8442099341301322,0.5531914893617021,1.0
hsa04926_Relaxin_signaling_pathway,0.22589879430443532,0.9627258150770102,0.4318181818181818,1.0
hsa04925_Aldosterone_synthesis_and_secretion,0.153370199761671,0.6887625626582577,0.851063829787234,1.0
hsa04924_Renin_secretion,-0.1480135298941509,-0.46331375755485465,0.9433962264150944,1.0
hsa04930_Type_II_diabetes_mellitus,0.29839593752772564,0.7197834513899363,0.72,1.0
hsa04923_Regulation_of_lipolysis_in_adipocytes,0.3072916666666685,1.028345754385533,0.425531914893617,1.0
hsa04921_Oxytocin_signaling_pathway,0.13196250527759745,0.6193502035759987,0.8979591836734694,1.0
hsa04920_Adipocytokine_signaling_pathway,0.1874371809234381,0.45213142686078484,0.98,1.0
hsa04919_Thyroid_hormone_signaling_pathway,-0.0982700835708101,-0.3076062148303703,1.0,1.0
hsa04918_Thyroid_hormone_synthesis,0.2462499195325042,1.309672263733321,0.16326530612244897,1.0
hsa04917_Prolactin_signaling_pathway,0.13022172557025205,0.23179370878266525,1.0,1.0
hsa04916_Melanogenesis,0.2696825197999699,1.211103745905037,0.23404255319148937,1.0
hsa04922_Glucagon_signaling_pathway,0.1585600897767033,0.5651049029785316,0.8863636363636364,1.0
hsa04931_Insulin_resistance,0.16332898897178108,0.5465773745156717,0.7872340425531915,1.0
hsa04932_Non-alcoholic_fatty_liver_disease,0.1947693423686097,0.914126566425839,0.4897959183673469,1.0
hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications,0.16362486689032324,0.4668342955880787,0.9375,1.0
hsa04934_Cushing_syndrome,0.153454752161775,0.9421412329178106,0.4444444444444444,1.0
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",0.3145952554990415,1.6731647312266726,0.061224489795918366,1.0
hsa04940_Type_I_diabetes_mellitus,-0.2329504732254555,-0.502872296666312,0.8936170212765957,1.0
hsa04960_Aldosterone-regulated_sodium_reabsorption,0.49304149136796543,1.1893027407663734,0.32,1.0
hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption,0.3398615738366645,0.81980585472361,0.64,1.0
hsa04962_Vasopressin-regulated_water_reabsorption,0.1677164348921451,0.5612598793611304,0.7872340425531915,1.0
hsa04964_Proximal_tubule_bicarbonate_reclamation,0.6554004408523151,1.166607939325726,0.2830188679245283,1.0
hsa04970_Salivary_secretion,0.15749134931030176,0.8376126674933275,0.6530612244897959,1.0
hsa04971_Gastric_acid_secretion,0.14692891635753696,0.5236516398287638,0.8863636363636364,1.0
hsa04972_Pancreatic_secretion,0.16944785455860656,0.6039086730154637,0.8181818181818182,1.0
hsa04973_Carbohydrate_digestion_and_absorption,0.16986073848578814,0.40973395822985637,0.98,1.0
hsa04974_Protein_digestion_and_absorption,0.16130237958697374,0.5397953645143228,0.7872340425531915,1.0
hsa04976_Bile_secretion,0.20511573140560754,0.7310282534436792,0.7045454545454546,1.0
hsa04915_Estrogen_signaling_pathway,0.19030376821577305,0.8546256788052765,0.48936170212765956,1.0
hsa04914_Progesterone-mediated_oocyte_maturation,0.1890369632760012,1.0613403102447847,0.37254901960784315,1.0
hsa04913_Ovarian_steroidogenesis,0.2123082807089623,0.6057318093265077,0.7916666666666666,1.0
hsa04912_GnRH_signaling_pathway,0.1336809546436644,0.44736078801361284,0.9574468085106383,1.0
hsa04670_Leukocyte_transendothelial_migration,0.13797189360675227,0.39364439517640787,0.9583333333333334,1.0
hsa04668_TNF_signaling_pathway,0.13690402602171203,0.6425426389757679,0.8775510204081632,1.0
hsa04666_Fc_gamma_R-mediated_phagocytosis,0.15727255839999824,0.6702574595012444,0.7727272727272727,1.0
hsa04664_Fc_epsilon_RI_signaling_pathway,0.13085691016995046,0.31564986849594157,1.0,1.0
hsa04662_B_cell_receptor_signaling_pathway,0.14147393713466508,0.47343985662471944,0.8936170212765957,1.0
hsa04660_T_cell_receptor_signaling_pathway,0.17826319253732703,0.596554404476648,0.7659574468085106,1.0
hsa04710_Circadian_rhythm,0.31220327142868454,0.5557195150166818,0.8490566037735849,1.0
hsa04659_Th17_cell_differentiation,-0.18164511009629689,-0.5685877403259356,0.7924528301886793,1.0
hsa04657_IL-17_signaling_pathway,0.12824574955004145,0.6019060560004308,0.8979591836734694,1.0
hsa04650_Natural_killer_cell_mediated_cytotoxicity,0.1423313980030915,0.47630933321405544,0.8936170212765957,1.0
hsa04640_Hematopoietic_cell_lineage,0.19593787309943939,0.34876796554354217,1.0,1.0
hsa04630_JAK-STAT_signaling_pathway,0.24733388539002585,0.8276981726042344,0.574468085106383,1.0
hsa04625_C-type_lectin_receptor_signaling_pathway,-0.15635946534906378,-0.38365975289083365,1.0,1.0
hsa04623_Cytosolic_DNA-sensing_pathway,0.18210229984390644,0.4392627559666867,0.98,1.0
hsa04658_Th1_and_Th2_cell_differentiation,0.16648887185391897,0.47500552142404634,0.9375,1.0
hsa04977_Vitamin_digestion_and_absorption,0.17017004987779075,0.3029014307111512,1.0,1.0
hsa04713_Circadian_entrainment,0.21684507145100973,0.772831380432909,0.5909090909090909,1.0
hsa04720_Long-term_potentiation,-0.13410296932113921,-0.32904891275252357,1.0,1.0
hsa04911_Insulin_secretion,0.28593499746698453,0.9568760645708254,0.48936170212765956,1.0
hsa04910_Insulin_signaling_pathway,0.14576726244875277,0.4878073886402464,0.8936170212765957,1.0
hsa04810_Regulation_of_actin_cytoskeleton,0.18597727916619738,0.8728620714633327,0.5102040816326531,1.0
hsa04750_Inflammatory_mediator_regulation_of_TRP_channels,0.1623075655039225,0.5431592001863902,0.7872340425531915,1.0
hsa04742_Taste_transduction,0.11138254974937209,0.31778295769618964,1.0,1.0
hsa04730_Long-term_depression,-0.21776183471210622,-0.7030174452613691,0.6607142857142857,1.0
hsa04714_Thermogenesis,0.19167984312209058,1.1697443487181283,0.2653061224489796,1.0
hsa04728_Dopaminergic_synapse,-0.14153328499552792,-0.5809769002188881,0.8490566037735849,1.0
hsa04726_Serotonergic_synapse,0.19928840154636543,0.8949743194599791,0.44680851063829785,1.0
hsa04725_Cholinergic_synapse,0.2744421768260119,0.9781062808862455,0.4318181818181818,1.0
hsa04724_Glutamatergic_synapse,0.1988556379239788,0.8474744484249888,0.5454545454545454,1.0
hsa04723_Retrograde_endocannabinoid_signaling,0.1661358602092859,0.5559705160593568,0.7872340425531915,1.0
hsa04722_Neurotrophin_signaling_pathway,-0.10499461206670736,-0.22665282013174312,1.0,1.0
hsa04721_Synaptic_vesicle_cycle,0.13829321076076034,0.4627956159333014,0.9148936170212766,1.0
hsa04727_GABAergic_synapse,0.2715545717647271,0.7747660220159724,0.625,1.0
hsa04978_Mineral_absorption,0.19297655953452575,0.5505769260347008,0.875,1.0
hsa04979_Cholesterol_metabolism,0.24467159941154962,0.43551363808947485,0.9811320754716981,1.0
hsa05012_Parkinson_disease,0.1439271970080637,0.8964173025245413,0.41304347826086957,1.0
hsa05203_Viral_carcinogenesis,0.09680132048518819,0.6029046656504009,0.9347826086956522,1.0
hsa05204_Chemical_carcinogenesis,0.38444444444443554,0.927347575112986,0.6,1.0
