Gene Set,ES,NES,P-value,FDR
chr10q24,0.07209071360705432,0.4153020632579157,1.0,1.0
chr15q14,-0.14304190981527248,-0.4870960879250784,0.7636363636363637,1.0
chr7q22,-0.14146926391635595,-0.5513090422402421,0.559322033898305,1.0
chr4q22,-0.06599403138189791,-0.24068093821861156,1.0,1.0
chr8q11,-0.1938785416316458,-0.7158829766603725,0.5254237288135594,1.0
chr8p21,0.08852155342778853,0.4822031083031461,0.9302325581395349,1.0
chr1q24,0.0864399900471044,0.47086421632228304,0.9302325581395349,1.0
chr5q35,-0.16254372798949104,-0.6372155171448081,0.4642857142857143,1.0
chr4q23,0.4281356383559295,0.987478432451144,0.5106382978723404,1.0
chr13q32,0.2321921723594884,0.8637142616747063,0.6363636363636364,1.0
chr3q23,0.1731239937838969,0.7121221028346134,0.7560975609756098,1.0
chr12q12,0.16557884049811603,0.381901246273331,0.9787234042553191,1.0
chr3p23,0.32100079345761057,0.7403760209178687,0.851063829787234,1.0
chr3p24,-0.05708771177816383,-0.2081994953757439,1.0,1.0
chr7q33,0.17766803087995223,0.5520996500841399,0.8444444444444444,1.0
chr8q12,0.15890669879226535,0.4937992072333768,0.8888888888888888,1.0
chr12q13,0.11551493711932694,1.0996172025195685,0.42105263157894735,1.0
chr12p12,0.09963166526258921,0.46583689670219364,0.9333333333333333,1.0
chr7q34,0.07993352324845886,0.29733872298119846,1.0,1.0
chr7p14,0.0958189240668628,0.44801007907483925,0.9333333333333333,1.0
chr1q44,-0.5884495076969397,-1.5848831583088387,0.11320754716981132,1.0
chr6q21,-0.07358610154690164,-0.29100284952994293,0.9285714285714286,1.0
chr2q35,0.059897581103673804,0.22280852327340037,1.0,1.0
chr6q15,-0.10730470175603878,-0.396215118270871,0.8305084745762712,1.0
chr3q22,0.06636566157397861,0.3781970390057983,1.0,1.0
chr6q14,-0.07557389275576439,-0.3004830411435166,0.9433962264150944,1.0
chr4q31,0.0645785545156129,0.4591846066202516,0.9736842105263158,1.0
chr3q12,0.1387498855203867,0.2681437407843202,1.0,1.0
chr18q11,-0.08916170677306731,-0.3523700085898782,0.896551724137931,1.0
chr16p13,-0.09064321932802513,-0.3972959015447712,0.7666666666666667,1.0
chr13q22,-0.13507872186158834,-0.45997929603757587,0.7818181818181819,1.0
chr9q31,-0.30244544194548967,-1.187669714229953,0.3620689655172414,1.0
chr15q15,0.10628867012418508,0.5013366604945075,0.9318181818181818,1.0
chr13q34,0.18531764169359646,0.6893492077884064,0.8181818181818182,1.0
chr1q42,0.06464313696008776,0.6153550977802342,0.9473684210526315,1.0
chr17q24,-0.1574408455552905,-0.5813393283006333,0.5254237288135594,1.0
chr2q14,-0.084549570862572,-0.33201678960238523,0.9482758620689655,1.0
chr3q26,-0.1549319997301037,-0.636187384507264,0.5081967213114754,1.0
chr10q11,-0.35375324100630595,-1.2330555068377962,0.16071428571428573,1.0
chr5p12,-0.19086679152408928,-0.6499526438528368,0.6363636363636364,1.0
chr5q13,0.10198243408212021,0.7251441941899228,0.7368421052631579,1.0
chr1q21,-0.08257564935120915,-0.344868659239825,0.8870967741935484,1.0
chr5q32,-0.11115531362480115,-0.3863821556405369,0.7857142857142857,1.0
chr20q11,0.06604752227145175,0.431848126372738,0.9318181818181818,1.0
chr4q24,-0.15476750616029236,-0.5394633988585823,0.6607142857142857,1.0
chr7q31,0.0944551523331463,0.6399536367393359,0.8048780487804879,1.0
chr6q24,-0.059271929726196174,-0.2060325793680479,1.0,1.0
chr5p15,0.09131454458732968,0.37561001274083805,0.975609756097561,1.0
chr1q22,0.12574797808210308,0.7165981901439268,0.6904761904761905,1.0
chr6p25,-0.11300397467551877,-0.3848088581557294,0.9454545454545454,1.0
chr6p21,0.05188528127497985,0.5277103293972861,1.0,1.0
chr2q13,0.17024725164625032,0.6332899932135895,0.8409090909090909,1.0
chr1q23,0.12610457178179077,0.82452787293342,0.5909090909090909,1.0
chr6q23,0.11524813003476407,0.538853095595947,0.9111111111111111,1.0
chr11q14,0.11814836693281652,0.4859873069454265,0.926829268292683,1.0
chr5q31,0.10641733219725047,1.1595752560487786,0.3,1.0
chr6q26,0.30721668778100686,0.9546693627651464,0.4888888888888889,1.0
chr2p24,0.1633916713137433,0.5077361645322285,0.8666666666666667,1.0
chr4q26,0.12343645943515927,0.45178974446403436,0.9772727272727273,1.0
chr6p22,-0.21623356914367411,-0.9240120183900148,0.5,1.0
chr11q21,0.1633474862770716,0.3767547133266661,0.9787234042553191,1.0
chr1q25,0.11535956428272935,0.705011154115332,0.723404255319149,1.0
